CITY,BUSINESS_ID,NAME,TOTAL_REVIEWS,RN,,,,,,,
Beverly,dZnoV8bws7PzC5sB85G55w,La Lus Cafe,21,3,,,,,,,
Beverly,v5GZ597sKS76KodqkoSEdw,China Wok,18,4,,,,,,,
Beverly,nRv9MgxFMhONywEpxyI6uw,McDonald's,17,5,,,,,,,
Plymouth Township,g3XnGZuR8C4q1dAeBn3jqw,Waterworks Car Wash,29,1,,,,,,,
NEW ORLEANS,KFXnlnzeeQiIx9krxuupMg,Cru by Chef Marlon Alexander,74,1,,,,,,,
NEW ORLEANS,Q8YTUFvcSrT8a8UWxZvhxw,The Mardi Gras School of Cooking,70,2,,,,,,,
NEW ORLEANS,ej_YqAP2AbZ_-CfphpO3Ww,NAPA Auto Parts,8,3,,,,,,,
St. Pete Beach,LdECsE8lJS7v5GTFTcjPSg,Crabby Bill's Seafood,1426,1,,,,,,,
St. Pete Beach,59-56qbtgwGigLNNsZiVZQ,Snapper's Sea Grill,1414,2,,,,,,,
St. Pete Beach,k-tHn9uxgWdq1ROHqwc-lw,Shells Seafood  - St Pete Beach,995,3,,,,,,,
St. Pete Beach,wr4tUYkhdlWs6HJNbiipSg,Skidders Restaurant,631,4,,,,,,,
St. Pete Beach,-6JdVK-DHB4_43PEksbg1A,Rick's Reef,578,5,,,,,,,
Holiday,abzbYCaernXvdmYi1u9y-w,La Fondita de Leo,300,1,,,,,,,
Holiday,FMaUJx3e8ydLLaYV1u4qKQ,Sun Toyota,178,2,,,,,,,
Holiday,XZ_jM8hnMakTT5eObEtY8A,Miss Vicki's On the River,169,3,,,,,,,
Holiday,pFnoqSPstZKsnyeNBIeuZg,Angelos Pizza,120,4,,,,,,,
Holiday,CjkxTRergWcYWb4SVW3gxw,Smokin' Out,91,5,,,,,,,
MERIDIAN,l0EnKYWcSKff77WFSd5cpg,Dreams on the Fly,7,1,,,,,,,
Clarksville,UcRoLud9739VWYPrQB2qVA,Chris' Pizza Village,37,1,,,,,,,
Churchville,IAgeKx3Z3_JqMjcAOCy2dQ,Churchville Inn,304,1,,,,,,,
Churchville,AUuCVo_FEjiqQag0RnMhOw,Russell Gardens Center,19,2,,,,,,,
Churchville,zyy_cMCepssktJ2BWLDnCg,Tom Adams Storm Windows,16,3,,,,,,,
Churchville,HhNbWe6qjSc4i05m-JUOeA,Susan's Cats and Kittens,13,4,,,,,,,
Churchville,6geEfe5TXctaP4A9OzLGjQ,Art In The Pod,9,5,,,,,,,
Sharon Hill,rq_Ua3cm8Lgsc0NPdpDPjA,Fatbelly,28,1,,,,,,,
Sharon Hill,lsPVdkNBOnqc7-CWU1XF8Q,Frank's Seafood,26,2,,,,,,,
Sharon Hill,kfRCbtTzDXrrBHZi9Wk-xw,LeafFilter Gutter Protection,23,3,,,,,,,
Sharon Hill,z1FNf0_fBx-DV2ZO2bWLaQ,Spayed Club Clinic,22,4,,,,,,,
Sharon Hill,fp_qDmPIrB2LQezynteJXA,Supreme Pizza,20,5,,,,,,,
St. Louis County,DfYamqDQNS1RnzeWjOcGPg,54th Street Grill & Bar,150,1,,,,,,,
Kirkwood,wQ9qT09OlsoMXEtGHqX0vA,Billy G's Kirkwood,546,1,,,,,,,
Kirkwood,x2sLTY57QFvlfmt55mq3sg,Bar Louie - Kirkwood,340,2,,,,,,,
Kirkwood,NgMJ4gseQr-CxZt01eDIBA,Dewey's Pizza,309,3,,,,,,,
Kirkwood,jOUSxBXomtgJQbrapKU3SA,Amigos Cantina,258,4,,,,,,,
Kirkwood,fiBEzPfn2VOZb-PjLcm7Ng,Kirkwood Station Brewing Company,255,5,,,,,,,
Port Hueneme,7sOqa_LFDHEtiFzNFZBw4A,Santa Barbara Wine Tours,7,1,,,,,,,
Hillsborough County,w38Oz8HarRfXVvnev33lBQ,Trust Me BBQ,174,1,,,,,,,
Hillsborough County,NR-y4TMeK8q8WnDFpfOCcg,Three Brothers Bar & Grill,6,2,,,,,,,
Hillsborough County,6I4bfYiLDs68hFrtk5-Kfw,Drama Kids International,5,3,,,,,,,
Feasterville Trev,UpxMB14YyjE7LKeNvHU9UA,Enterprise Rent-A-Car,8,1,,,,,,,
Garden City,zQSEPYY7YskqIvg-9cjNdQ,Uncle Giuseppe's,186,1,,,,,,,
Garden City,bsRJY9hRr_p3PNZnxCqbjw,Barrelhouse Pub and Grill,183,2,,,,,,,
Garden City,5A_6g0Cm8wlWNqaUW2Vsnw,Sofia's Greek Bistro,156,3,,,,,,,
Garden City,zeZN6jO3hwoYdmT6U61LqA,Stagecoach Inn Restaurant & Lounge,143,4,,,,,,,
Garden City,SxN12oF4s2DXL5W2zfqWEg,Caffe Luciano's,129,5,,,,,,,
King of Prussi,_x2T1lRnomGPpCcIlCMJ-w,"Robert M Wohar, DMD, JD",6,1,,,,,,,
Sun City,qeAVCaF0SjI8GdBA2cEBzA,Sun City Stables,55,1,,,,,,,
Sun City,GkMeiDDrIlM648Vv1PhkWw,Tropical Smoothie Cafe - Sun City,18,2,,,,,,,
Sun City,tB1krTkc4feN_z31oa2tAQ,Take 5 Oil Change,10,3,,,,,,,
Gulph Mills,Q4_uwzXOKX5jv1I6SBR9ig,Savona,191,1,,,,,,,
Marcus Hook,z87J50pmTCfbiUDZufjOVw,Dicostanza Sandwich,93,1,,,,,,,
Marcus Hook,mAAnVFofJvwpXJ1GzXdGsg,Italiano's,68,2,,,,,,,
Marcus Hook,fcAaBcYFo1YqetIjs9l8Iw,Sungate Diner,56,3,,,,,,,
Marcus Hook,g5mA5K0yQLu1B_kmjX0g8Q,Lupi's Pizza,24,4,,,,,,,
Marcus Hook,hnSAuhhKvMjaUF2bPdYqxQ,Clanks Pizza Bar,24,5,,,,,,,
Doylestown,EsrLwzu66nah5pnSGwsMyA,HONEY Restaurant,490,1,,,,,,,
Doylestown,Yv9KUZ-N3otoKUtToPPxAg,The Hattery Stove & Still,304,2,,,,,,,
Doylestown,V9pSmHb0c-9SSqx5GJbYPg,"OOKA Sushi, Bar, Hibachi Steak house",264,3,,,,,,,
Doylestown,2Ugp3An60FEIQM2FN92AsA,Quinoa Peruvian & Mexican Restaurant,260,4,,,,,,,
Doylestown,x4o0RXGhFhGRs5oE74q83A,86 West,257,5,,,,,,,
Villanova,mF8czpMukj36ovHb3lGSeg,Azie on Main,245,1,,,,,,,
Villanova,Xat8Yhqly9GdM7kYcfQJyA,First Watch,160,2,,,,,,,
Villanova,PCpBRBOTy3Vzf9H-bmTQSA,Campus Corner Pizza,107,3,,,,,,,
Villanova,IQzeJhxS4_m9EofxDVQHaQ,Nova Mediterranean Grill,101,4,,,,,,,
Villanova,8r23xbXXpI-g8MJYd4jT2A,Avenue Kitchen,89,5,,,,,,,
Meridian,Hp1nkc3c3Q7_8oKXFn0vbw,Moe Joe's Breakfast Eatery,727,1,,,,,,,
Meridian,ncyt6jLL3iAICPRGFe7Ihw,Joe Momma's,611,2,,,,,,,
Meridian,BvRJCEqexcpYjNTB-C388A,Kona Grill,568,3,,,,,,,
Meridian,s0jcuex44ULcMRtzC9-RUQ,Yard House,489,4,,,,,,,
Meridian,HY-MXAqblxgRPkxfyhi_ig,Kahootz Steak & Alehouse,410,5,,,,,,,
GARDEN CITY,jwdqPQB8bXYVqkf1U7EzoA,LV Nails & Pedicure Spa,7,1,,,,,,,
Levittown,k5ODiSuPem4rHsBgi-iCSA,Maryanne's Homestyle Cooking,204,1,,,,,,,
Levittown,_RG4IByyBR528CMc7DefJA,BluePearl Pet Hospital,152,2,,,,,,,
Levittown,deQAlSgEXKuSPasPXkeotg,Garden of Eatin,144,3,,,,,,,
Levittown,U_eTZFGsWryIrD1dM1P3Rw,Malay Thai Kitchen,139,4,,,,,,,
Levittown,bcmgbIMjlPJWkyv0k1XJzA,DeLorenzo's The Burg,119,5,,,,,,,
Fairview Hts,b6ZtTraMKE3ftSmtkfe-iw,TGI Fridays,115,1,,,,,,,
Fairview Hts,#NAME?,Petco,14,2,,,,,,,
Zephyrhills,PGv11T-KjPvB4xoRSoQtCg,Sunrise Eatery,300,1,,,,,,,
Zephyrhills,glA62EC2ghmWjpwGQrWyRQ,Best Thai & Sushi,187,2,,,,,,,
Zephyrhills,JtY9OkVp8lfdFVTahNjHdw,The Great Catch - Zephyrhills,174,3,,,,,,,
Zephyrhills,i5X5dshedNVztWO9_o6Dsw,Little Ninja Thai Japanese Food & Cafe,136,4,,,,,,,
Zephyrhills,12uWSsgW5wkWzkxPycLtzw,Saigon Cafe,127,5,,,,,,,
Stratford,Jyh16p7IGKs3z62IJR4MPw,Gagan Palace Indian Restaurant,117,1,,,,,,,
Stratford,9NMVU7tqYQq3BEN5A0iTQA,Stratford Diner,92,2,,,,,,,
Stratford,1mD7RB0F4Opim5IKkSQXmg,Tejas Grill,64,3,,,,,,,
Stratford,KBzvDydaFaE-E8G2NU2yyg,Casa D'Amico,54,4,,,,,,,
Stratford,fJupV5xtrBTExvMYPYtSBQ,Milanese Brother's Pizza,47,5,,,,,,,
Manayunk,hA8c2kWI_8DXZE1jyVxlBQ,The Couch Tomato Bistro,721,1,,,,,,,
Manayunk,BsnP3lXh-QaOSgAw2t-omA,Kildare's Irish Pub - Manayunk,152,2,,,,,,,
Manayunk,uHfI3MPfF3vvKuoeY0-0EQ,Smokin' John's Barbeque,136,3,,,,,,,
Manayunk,qaOWdokMRlgYioP3sh8Qxw,Riverside Pizza,88,4,,,,,,,
Manayunk,SyEcp1qlzXcb3UuMPQXVUw,Regal UA Main Street Theatre,85,5,,,,,,,
Breckenridge Hills,buP98xgFQrgutle85Llqag,Nick & Elena's Pizzeria,94,1,,,,,,,
Breckenridge Hills,LVWgnIor8mzfqtR__R3XsQ,Pizza Hut,16,2,,,,,,,
Breckenridge Hills,ieLpgntJkRzKLq01uPUE0Q,Red Racks Thrift Store,8,3,,,,,,,
Breckenridge Hills,AA28cSJTbK74J9kyyGvQXA,Jiffy Lube,7,4,,,,,,,
Breckenridge Hills,3ntSdYAWmFxdsYdv9Cv_1w,Hollywood Motor,7,5,,,,,,,
Wenonah,gnau2dVvNfrO-dWazIoOOg,Amigos Mexican Grill and Empanada Factory,92,1,,,,,,,
Wenonah,KIspL2N4IBtk-gj940XWMw,Hawk's Corner Deli,27,2,,,,,,,
Wenonah,5DPr9gtRh8ePwf9tOV6bqg,Vito's Pizza,27,3,,,,,,,
Wenonah,qwXgGFqa9dyL9FCZyQXPhw,Benny's Pizza,26,4,,,,,,,
Wenonah,b8fXwzOwJlqFILC4txb8WA,Chompsky's,26,5,,,,,,,
Forest Hills,MpiVQAuKAzqPfDJmEpNUBQ,Forest Hills Golf & Country Club,6,1,,,,,,,
Folsom,gR2MRPHvSYY1pLV1CCLVaQ,Nifty Fifty's,355,1,,,,,,,
Folsom,zbSTmUUH27ef3ejK6h7mdQ,Charlie's Hamburgers,255,2,,,,,,,
Folsom,7Flr6AcqSBotjFPB0gFhYA,Viman Thai Cuisine,213,3,,,,,,,
Folsom,bFIyk5wMY2WinvONbeVgeA,Big Daddy'z BBQ & Grill,163,4,,,,,,,
Folsom,calI2y44JJN497vsW1lF0g,Applebee's Grill + Bar,71,5,,,,,,,
Glenmoore,XHz5zlt4SDYr64aLDBx6Vg,Ludwig's Grill and Oyster Bar,101,1,,,,,,,
Glenmoore,CSXJOcMhHBn1vVNXvlTsNQ,Air Ventures Balloon Rides,32,2,,,,,,,
Glenmoore,chiXVs9fuaXcxb0OHs-Kig,Far Away Farm Country Corner,19,3,,,,,,,
Glenmoore,Y00kjaevrrTk9s6mXcLEjA,Ludwig's Village Market,15,4,,,,,,,
Glenmoore,RP_x4poTtML9DbcdX6zMOQ,Guthriesville Tire & Service,13,5,,,,,,,
Woolwich Twp.,e228TnyMNoJLp4zYnunvmw,Wawa,16,1,,,,,,,
Birchrunville,5u_eZ2_GYsPtLuRwAajgzg,Birchrunville Store Cafe,89,1,,,,,,,
Birchrunville,y5JFtXvdV9hUsRAZS9v2OA,Butterscotch Pastry Shop,46,2,,,,,,,
Twn N Cntry,5436KvwrJOTZzhNYEhcK-g,Pollo Supremo,18,1,,,,,,,
Dover,1mJS5vRCuIw1-ecLgCa8pQ,General RV Center,144,1,,,,,,,
Dover,cZTFav6cyVQWw1RaHrKtgw,RV One Superstores - Tampa,84,2,,,,,,,
Dover,4ZIkzr-gHYN_bvBNo7qPdw,Camping World of Tampa,77,3,,,,,,,
Dover,4M_kLVDf0vq2dKoRcfkGCA,McDonald's,21,4,,,,,,,
Dover,_Xo-JzgxbMaDi5cvlfHpwg,Nidia's Latin Grill,19,5,,,,,,,
Treasure Is,c5Xu3cVerGnqu51TKFHy4A,Suncoast Surf Shop,27,1,,,,,,,
Treasure Is,ibyaHFKnJ8mLwTj9cHTIDQ,Molloy Gulf Motel & Cottages,21,2,,,,,,,
Treasure Is,3QZ6KBPLSTEuk8jIHxv9PA,Suncoast Motel of Treasure Island,17,3,,,,,,,
Treasure Is,#NAME?,Bayside Inn,17,4,,,,,,,
Treasure Is,g7YZ19bGZqq-WdbwgUoMkw,Beach House Hotel,16,5,,,,,,,
Fishers,4LG0U_Gxc45-FanbjwoBvw,Four Day Ray Brewing,683,1,,,,,,,
Fishers,Pv0UQ6EIQokMLkrn-GDDDA,Portillo's Hot Dogs,621,2,,,,,,,
Fishers,5zqvErekexa_89W6-6uZ4g,LouVino - Fishers,451,3,,,,,,,
Fishers,gqCHiQ0OiDkARDQzlEFUiA,Topgolf,410,4,,,,,,,
Fishers,HLRvheysFKngi7c07enm_Q,Another Broken Egg Cafe,403,5,,,,,,,
lawrence,hx_9etInU71CGRs6xDjM0g,Brickhouse Coffee,31,1,,,,,,,
Radnor Township,WgopCFAQk-tIfT8k4OLO8w,Bliss Nail,32,1,,,,,,,
Radnor Township,taX8PM0q03bYDSL9eml14Q,Skunk Hollow,5,2,,,,,,,
Gentilly,--8IbOsAAxjKRoYsBFL-PA,The Original Italian Pie,27,1,,,,,,,
Godfrey,8M2ZGXzscxGuqID3jFGF2w,Roper's Regal Beagle,82,1,,,,,,,
Godfrey,LsHyDO0k4O0mxgxcsQ5A8g,Shivers Frozen Custard,61,2,,,,,,,
Godfrey,1GOEX3GFW7cfyOTCAgcxlg,Round Table,31,3,,,,,,,
Godfrey,ja7cjawPhBMHsKeL_popDw,Mister Donut,30,4,,,,,,,
Godfrey,3lXDdLkEq3SI4z6hCjp7FA,Carver's,25,5,,,,,,,
Fort Washington,dybSe2rNDk1hNMpes9y7Rw,Gate 1 Travel,818,1,,,,,,,
Fort Washington,w_B0phzyFXPmeiVlzQrq6A,Cantina Feliz,449,2,,,,,,,
Fort Washington,IEt-2fdWXfwF2rWLv59NwA,Newrez,389,3,,,,,,,
Fort Washington,vqXsnIRg6Dh4oJ7K0396Jg,Zakes Cafe,340,4,,,,,,,
Fort Washington,gHE7ClRmr8CZp5qw-bo4UA,MaGerk's Pub & Grill,191,5,,,,,,,
Saint Louis ,qEVC6Q_QaALvduNPURqfTQ,The Healing Hamsa,11,1,,,,,,,
Collingdale,kkfR05FAonhPBeIjIuANAg,Femi's Pizza,84,1,,,,,,,
Collingdale,xX_11wRiuDlXPEu9WgusKw,Pho 4 Seasons,68,2,,,,,,,
Collingdale,#NAME?,Cupcakeology,47,3,,,,,,,
Collingdale,4jtP4Vgn9t6A449Jlz2qDA,Big Don Edwards Appliances ,24,4,,,,,,,
Collingdale,fCXp3x3x6gY1sKsfB8QMbw,Malo's Pizza & Pasta,23,5,,,,,,,
Hudson,gKPWC7F219oEbu5NXPzH4g,Sam's Beach Bar,588,1,,,,,,,
Hudson,o8Q3OizUJiLwNGjehdpkcg,Inn On The Gulf,235,2,,,,,,,
Hudson,yL34JumMcJqQZmA8BZ3TrA,Ram's Family Restaurant,162,3,,,,,,,
Hudson,cfvPUAc2SM0xpHmmPzYaQg,Get Hooked Grill,148,4,,,,,,,
Hudson,1vi4P6rc2tj-VodBUe_jkg,Hudson Beach Ice Cream Parlor,108,5,,,,,,,
Pasco,QpyqdzfNXgS08Q2BFzjhDw,Pink Me Up Salon & Spa,19,1,,,,,,,
Pasco,au-I1qdFnXiRZ9W6ruWyxw,10 to 10 Urgent Care,7,2,,,,,,,
Sturgeon Couny,ObwTfK_QHxYrIzf2dl9AIw,Exclusively Cats,5,1,,,,,,,
Safety Hatbor,tWTB736pFEFG3ICsrKpSxw,Bay Area Fence Factory,8,1,,,,,,,
Danville,ftXfwP__hVFoQsBSEjhKow,Beasley's Orchard,63,1,,,,,,,
Danville,3-JrimUGgzBVCR4bex_89g,Los Patios,36,2,,,,,,,
Danville,x0VTIV-FOPQKyJf3Ivw0CQ,Jack's Pizza,19,3,,,,,,,
Danville,nYMkrXgjN8AU04uYouBmLg,Pizza Hut,13,4,,,,,,,
Danville,hycc1XKMns-Ztc4Tx8lNAw,Grins and Giggles Photo Booths,10,5,,,,,,,
Whiteland,YgxLQQLi5OEYIOd8rU_mBQ,El Abuelo Mexican Restaurant ,47,1,,,,,,,
Whiteland,3kQWW-b_6H7suxmAVEU6qw,Rascal's Fun Zone,36,2,,,,,,,
Whiteland,mztt209FhKbp3YJphcWC6w,Nailers Brewing,33,3,,,,,,,
Whiteland,eYZBpbi42VoMYsulwalQaA,McDonald's,25,4,,,,,,,
Whiteland,Z5C4q4mouUojigDmCRuG8w,Taste of China,22,5,,,,,,,
Blooming Glen,D4_paogYHY6tmQncT9IGCg,Blooming Glen Catering,26,1,,,,,,,
Blooming Glen,ZKh_5nafeb0whN-9p6XnCA,Miller Express Lube,6,2,,,,,,,
Cornwells Heights,Qe754CEFSvHiMHw1WGp1lg,Friendly's,10,1,,,,,,,
Cornwells Heights,qye5aL2VWLKqh8aLEJMH8A,Accp-Spirit Delivery and Distribution Services,8,2,,,,,,,
St Petersburg,nYsNsyIppe_DTueBha1x9A,Red Mesa Cantina,1458,1,,,,,,,
St Petersburg,XF2SR4yNnIOGRGH9goofuA,Cassis St. Pete,869,2,,,,,,,
St Petersburg,kxOR-Z62MnMUlCZWQmd2iQ,Ceviche Tapas Bar And Restaurant,823,3,,,,,,,
St Petersburg,2N97axWHko3rzyzOGCxxBA,URBAN Brew and BBQ,776,4,,,,,,,
St Petersburg,a6J0Jq1GJ6Shk-L10Bp6Cw,Buya,724,5,,,,,,,
Isla Vista,Rl42JbSMsmNW3LRjsTMYAg,Freebirds,1296,1,,,,,,,
Isla Vista,YxWiv24PHCseiVvGlqKFrQ,Woodstock's Pizza Isla Vista,498,2,,,,,,,
Isla Vista,-9r8nAzWyRSLxBWt8uQOdA,Hana Kitchen,343,3,,,,,,,
Isla Vista,Gg2ZHe57Ztuv8JaFj0mNhw,Dank Bowl Kitchen,340,4,,,,,,,
Isla Vista,q0DRuEAxE5i57xNSTrDP4Q,Naan Stop,329,5,,,,,,,
Whitehouse,7FG_SDb3DI3o-U2kaT1Rsw,Valvoline Instant Oil Change,9,1,,,,,,,
Strafford,6JDhEP9MkUCLBRzn_F2Xkw,Pete's Mainline Auto Wash,45,1,,,,,,,
Strafford,WII9aGHsL6fUZZiSyR_EJQ,Jim's Berwyn Auto Repair Center,14,2,,,,,,,
Strafford,MEe_fDhl4VKcdpZHY773Lw,Calico,10,3,,,,,,,
Strafford,yj-DRKU9Uji58jBDCXpH2Q,Tredyffrin Public Library,8,4,,,,,,,
Norristown,M9YzrtbHvlntFXWoed9q0Q,Aman's,273,1,,,,,,,
Norristown,e_nT5SzcGvsZ9uku6YAqsA,Zachary's BBQ & Soul,246,2,,,,,,,
Norristown,LNHq9WxfhN2UBNOR2tnRQQ,Corropolese Bakery & Deli,240,3,,,,,,,
Norristown,eyPjx3MbU3zoWLo6JevpiA,Mango Tree Bistro,223,4,,,,,,,
Norristown,tfi7XsCSptZLaa3y-rbuvg,China Wok,202,5,,,,,,,
Royersford ,yuPvBtME-EkSfA5T2L80gA,Texas BBQ,34,1,,,,,,,
Newtown,ksIxYQ7hlBbGu9Mw8vpRZQ,Isaac Newton's Fun Food & Drink,393,1,,,,,,,
Newtown,jjK2eJS43eMBQEBddYldnA,Guru's Indian Cuisine,389,2,,,,,,,
Newtown,0zH0l4Jbf-oove3cLvrFOg,Vecchia Osteria,381,3,,,,,,,
Newtown,u9modXzD6V2Gbpq0YS9W6Q,Oishi,363,4,,,,,,,
Newtown,G0Fhi9lh1sSZSSPuXpe6Ug,Harvest Seasonal Grill - Newtown,285,5,,,,,,,
New Castle,FjgPNVFrbL924rNUMm8nBg,Jessop's Tavern,288,1,,,,,,,
New Castle,gk3hzKydevLKZ2FVmJdt-A,Nora Lee's,214,2,,,,,,,
New Castle,Tr-8_aJ7VgywoRk3sMC4Ww,Ioannoni's Bullroasters,194,3,,,,,,,
New Castle,8nio_7eFGbCSLhiLwbWvdA,The Dog House,148,4,,,,,,,
New Castle,zJo7j03ZP32Ou3YdGh5fQg,Shake Shack,147,5,,,,,,,
Valencia West,c4cuo-IvHZBbREVUgndBcQ,Asadero Y Taqueria Jandys,5,1,,,,,,,
maple shade nj,q_Xgd3u0tf6ODEXtZckOrQ,Danny's Ampservice,11,1,,,,,,,
CLEARWATER BEACH,whAw6ljhyqDy6CHcP233jA,Starbucks,5,1,,,,,,,
Southampton,dBCNUSbz5-8nQNrxWo5deg,Blue Sage Vegetarian Grille,587,1,,,,,,,
Southampton,nwVZnjRDhUrFo1kGahLIZQ,Steam,448,2,,,,,,,
Southampton,C81SlkhHZZxhabsctJ8c8A,Maggio's,213,3,,,,,,,
Southampton,XgXkTeOtLpX1QSvh9Qql1A,House of Pho,204,4,,,,,,,
Southampton,aduPqegPuD0amg0dXtxBgA,Las Margaritas,198,5,,,,,,,
Fieldsboro,1qKfDCXiT6ePS4O5VS_IHA,Cool Cricket,25,1,,,,,,,
Town & Country,sWZnoOJwHTQD7RgdrmFA6Q,First Watch,62,1,,,,,,,
Town & Country,KcuXkhcvERbwkFrMpWU8OQ,Big River Running Company,21,2,,,,,,,
Town & Country,K8tnPBetvP_UXWERDyak8w,Presence Float Center,16,3,,,,,,,
Town & Country,3JPN3-kBZdwA7swcKr3fwA,The Bar Method,15,4,,,,,,,
Town & Country,DpRr4iFelplcxYibgIKUJg,Willowbend,9,5,,,,,,,
Haddon Twp,540XY9UXBi2T2x8K8hq1HA,Collingswood Veterinary Hospital,49,1,,,,,,,
Haddon Twp,YVU5cV62Wn6N36b_8o3_xA,Bamboo Chinese Restaurant,31,2,,,,,,,
Wayne,prZjGYZFtZ05e80cSEYyjg,White Dog Cafe - Wayne,670,1,,,,,,,
Wayne,sDi3UPW6imj4wGHUg7CgXg,Teresa's Cafe,474,2,,,,,,,
Wayne,jm_6bIhR_TuciFIk5rhR7g,Minella's Diner,353,3,,,,,,,
Wayne,yihGPorZJ4gruJKMgdg4zQ,Dan Dan,324,4,,,,,,,
Wayne,tM-ObyoUno83kylE283iXw,A Taste of Britain,302,5,,,,,,,
Tampa Palms,_k6vY72MD5kWwLHrhDe3wg,Stonewood Grill & Tavern,289,1,,,,,,,
Tampa Palms,sbkav-2pg4yLB2sSa0Bhaw,All Pro Movers,5,2,,,,,,,
Greenbrier,rE4O6LDXL2Di3MqW5s33dA,Jose's Mexican Restaurant,28,1,,,,,,,
Greenbrier,0wTai9TZOXmZ7qrhp2e8XA,Makoto Japanese Steakhouse,27,2,,,,,,,
Greenbrier,z2ow0b_iZCJqPykwqb-SZg,China Spring,23,3,,,,,,,
Greenbrier,LvRm71zDzO1fbOw45ub05g,Jumbo & Delicious,18,4,,,,,,,
Greenbrier,N0R6H9czSwcbH1_ju83xkg,Two Brothers Moving,16,5,,,,,,,
Sparks ,_sszFtdqzembcl6UNdXOkA,Maggie B’s Cookies,5,1,,,,,,,
Southampton ,sHpqOIuJ1YKKYVQdADYKOw,Ron's Moving,14,1,,,,,,,
Royersford,mYYy0lS2TkzhPtLNP-Fbgg,Annamarie's Place,335,1,,,,,,,
Royersford,GXXbsAsNLGuLYTQKHb0XMw,JC's Three Square Meals,280,2,,,,,,,
Royersford,xYEeA5rK8nQxSbETixCQbQ,Han Dynasty,221,3,,,,,,,
Royersford,cp3pRJJuQo0urJZm2inr_A,Veekoo,166,4,,,,,,,
Royersford,iQipfQ4NwfW3SWajgk6S4g,The French Quarter Bistro,141,5,,,,,,,
Valrico,ng457WGt-tpVIAISMNN3HQ,The Brunchery,328,1,,,,,,,
Valrico,iwDX85LRraB9vl6J3Oo-uA,Shrimp Boat Grill,307,2,,,,,,,
Valrico,LnQRfj3pPz0369stRnwUWw,Sushi Ushi,272,3,,,,,,,
Valrico,4RNZxB_UfRY6xmCHGwd18Q,La Villa Mexican Grill,205,4,,,,,,,
Valrico,xWb-YZ1qoDwJYYpyONQciA,The Landing Bar & Grill,198,5,,,,,,,
Saint Peters,ksn089lztcr9YI7q9-pJrw,The Inn at Saint Peter's Village,79,1,,,,,,,
Saint Peters,kbJ93sFTSPUdur6VVvj2uQ,Saint Peter's Bakery,51,2,,,,,,,
Saint Peters,vNkD-VrWg5mRyvqGx4gxGQ,St. Peter's Village,6,3,,,,,,,
Mccordsville,jUlB0puB9kg8eGTb9wXLCg,Scarlet Lane,51,1,,,,,,,
Mccordsville,#NAME?,Chicago's Pizza McCordsville,33,2,,,,,,,
Mccordsville,7iHddpkOdxu9ErorxxVJBA,BMV McCordsville,28,3,,,,,,,
Mccordsville,ysxn2qOcDLIjyfNeB6L--g,CVS Pharmacy,5,4,,,,,,,
Mccordsville,1TAHFIs5ETVVB9X9R3Jwrw,VetIQ Petcare,5,5,,,,,,,
Rancocas,hoZlpgjz3H4rVWO9u0s6_A,Marsdale Productions,7,1,,,,,,,
Blvd,QfntRgLd_fR0krYYZWbeLg,Mariposa,32,1,,,,,,,
UPPER MORELAND,2wpEbuFLi6OYr-i6RdtTxg,Randazzos Pizza,38,1,,,,,,,
Chesilhurst,xmCfcKUZ8z_zoOkIIyuRvw,Graziano's Ristoranti,63,1,,,,,,,
Chesilhurst,qvGY_tzzZiNayi2LIqFlhw,Brother Bear's BBQ and Catering,20,2,,,,,,,
Chesilhurst,SP4LMwnMve_Qil4x6AcmdA,Grilly Cheese,14,3,,,,,,,
Chesilhurst,y3v-vuWECqY0liPt8acSdw,Tire Corral,6,4,,,,,,,
Kenneth City,6otC9Hds6WZuYzybEm8WqA,El Maguey Mexican Restaurant,94,1,,,,,,,
Kenneth City,nNlZsWbbGG2sfUZpVOxWIQ,Sohkdii Restaurant,78,2,,,,,,,
Kenneth City,gaQNZB18M2qG6g40oj6-8w,Thai Orchid Restaurant,78,3,,,,,,,
Kenneth City,sR6f0zpYRXhxFpor9ipMOQ,El Toro Negro,69,4,,,,,,,
Kenneth City,kBuzuNDQNM26AUbnkRVifg,St. Pete Bagel Co.,66,5,,,,,,,
LANSDALE,c_wtRXGCqephjiXHymZ5FQ,"Amarilis Cafe Lansdale, Pa",23,1,,,,,,,
LANSDALE,zmiMnWLdGQV4LoMgTJDAkQ,CVS Optical,10,2,,,,,,,
Saint Davids,JKw-tL1TtW81A0MjQcqzOw,Philadelphia Sports Clubs,83,1,,,,,,,
Saint Davids,RR-eO-gWy0CLU9as1dcQ2g,Tj Maxx,23,2,,,,,,,
Saint Davids,HWcHlUzrzFTDcMvBawCoRA,Jay Michael Salon,23,3,,,,,,,
Saint Davids,EuXbQFSmMHep8q2rOVBwmg,S W Bajus Ltd,6,4,,,,,,,
Saint Davids,Iu05KWS-8q8Qeor6Zp5dRg,Eastern University,6,5,,,,,,,
Bywater,ZyOqGKdr5JetY4jgD_UoGw,The Cheezy Cajun,101,1,,,,,,,
West Point,Qu49EkA5yHKfpQiILWPCkw,Pizza Time Saloon,68,1,,,,,,,
West Point,7CWiFnqHCz5dP1OMixUuDA,Boyd's Cardinal Hollow Winery,52,2,,,,,,,
